"count","bin","cortex","gene","mouse","cell_num","hemisphere","age"
0,78,"cortex","Bcl11b","1","1407","left","12"
1,77,"cortex","Bcl11b","1","1408","left","12"
0,84,"cortex","Bcl11b","1","1409","left","12"
0,79,"cortex","Bcl11b","1","1410","left","12"
0,79,"cortex","Bcl11b","1","1411","left","12"
0,87,"cortex","Bcl11b","1","1412","left","12"
0,81,"cortex","Bcl11b","1","1413","left","12"
0,83,"cortex","Bcl11b","1","1414","left","12"
2,80,"cortex","Bcl11b","1","1415","left","12"
0,77,"cortex","Bcl11b","1","1416","left","12"
0,79,"cortex","Bcl11b","1","1417","left","12"
0,80,"cortex","Bcl11b","1","1418","left","12"
0,78,"cortex","Bcl11b","1","1419","left","12"
0,78,"cortex","Bcl11b","1","1420","left","12"
1,79,"cortex","Bcl11b","1","1421","left","12"
1,76,"cortex","Bcl11b","1","1422","left","12"
0,80,"cortex","Bcl11b","1","1423","left","12"
0,74,"cortex","Bcl11b","1","1424","left","12"
0,77,"cortex","Bcl11b","1","1425","left","12"
0,78,"cortex","Bcl11b","1","1426","left","12"
0,78,"cortex","Bcl11b","1","1427","left","12"
0,80,"cortex","Bcl11b","1","1428","left","12"
0,77,"cortex","Bcl11b","1","1429","left","12"
0,78,"cortex","Bcl11b","1","1430","left","12"
0,72,"cortex","Bcl11b","1","1431","left","12"
0,76,"cortex","Bcl11b","1","1432","left","12"
0,77,"cortex","Bcl11b","1","1433","left","12"
0,84,"cortex","Bcl11b","1","1434","left","12"
0,76,"cortex","Bcl11b","1","1435","left","12"
0,77,"cortex","Bcl11b","1","1436","left","12"
